image,label
1a7cd9239bd2472ba06c552efa76b707.png,263 714 865 501 1000
f6520a37f8b948988989b7ead53f0baf.png,281 1000 812 507 744
6ed63eed801743cca9d36651efbe39a5.png,339 28 945 1000 773
2b018df01c65423fbae7b4fedf679c4a.png,472 564 36 436 1000
ffcfe148bd774cf492afff58a71b808b.png,409 1000 999 998 997
1ef5c94c5e6a4c67b953a03be38cace1.png,553 200 155 300 1000
88861d44de364b1da8824c37447f885e.png,186 86 512 430 1000
05c97b353cec4dbb8d633611550f8373.png,748 1000 999 998 997
eb14eb3d478f425482ed06b13ccc9c10.png,455 699 551 544 1000
8022df537e8641b481dea7f1ebfee964.png,504 1000 999 998 997
08621fc448904f25af21eba472fd09ce.png,464 126 4 440 1000
5c3b86bb01dc419aab9f89d4b1a27dd1.png,196 376 606 426 1000
43a411f3bb664ca7a6b225b8924ad04e.png,851 603 1000 829 999
9976c5cea43048d4b8e84ade792db697.png,781 135 70 984 1000
d62365dbf62441fab22f4920ab9bc45a.png,108 327 1000 999 998
4ed720b1fde24d6d929505e69251ece9.png,792 614 1000 565 999
69b8441c8b4048b8bee4e7f640f5d7ad.png,1000 921 957 435 773
b44a0ab42af74baa9c97cba749d3cdda.png,802 685 412 1000 999
e5c6713730c44c1a93784a4c1e4beb60.png,781 194 138 70 1000
2ef31939395b464388a12e875b68f33b.png,169 1000 999 998 997
e5a4ffc1eba943fcafa341f65d58daa8.png,58 52 1000 282 999
7039d22237ff4a76a6bf184c6fac87ab.png,850 1000 999 998 997
afad722c192846229d7b1369886b8acf.png,646 583 1000 166 999
10b5ca8c84e04b6b934bb0f7f06e6727.png,319 437 899 1000 464
0941a47b5e274d57b713595b3eeb2354.png,587 293 1000 999 998
9efafaffd3ef46aea21d01c331d7b860.png,518 485 83 858 1000
147dc73a869743e0b740a0a9b465f41f.png,289 304 378 1000 999
03700601cca44960b6fc276dd5dfe0da.png,21 988 1000 411 999
3dbd631fdc504d5e89afecdb39e3ba1c.png,400 1000 221 999 998
1dcaa819e12a418085970de565cb7b4e.png,570 1000 999 998 997
144bb6ba935345818dea7ab8de06fd9b.png,472 36 436 1000 426
112a95902db94305829c6abc09595d78.png,553 934 536 1000 264
798dce26079a4cfa806b5e9880aafb3c.png,1000 652 73 675 543
dccae3babb2545baab5da4f04af7e72c.png,706 66 1000 231 999
7c66531fac5b459089b5506d0be41014.png,874 1000 999 998 997
5f79b903160147b69bdde9224534dcb1.png,650 1000 999 998 997
8a44aad3eace46e1bc7da683021b3497.png,796 1000 346 902 438
46ee078b3a7249b1b3ba1eb3493c7883.png,500 1000 999 998 997
6666f45af8424aed9aad8059ea47f6b6.png,161 1000 999 998 997
19d06f3399fd4128bda09498f3f31ad1.png,21 988 1000 999 998
9598ee13d95d47fba42895dd8689f7b5.png,513 147 1000 26 999
d5a16fcc1fe54cfe871371436f5ca1e1.png,233 1000 999 998 997
0d6f3b9ddec043efbbd636d8b2445211.png,148 1000 999 998 997
a25a6f6c0fa84afd9692c8c47e0f2c0b.png,874 483 1000 999 998
6f58ce4930294c6985246876a8f44ef9.png,684 168 153 1000 999
f5651c4705f34cf38332fe97cb7400ca.png,59 1000 999 998 997
41bb9acdbfcb418e9f51adc29a3d2440.png,717 100 751 1000 174
721c815c1852424487427fa7f8fceac8.png,490 956 294 1000 609
e7d5704856b54bf2b7bcca14e9a774d1.png,557 1000 999 998 997
f7d975ce020d4b7981fb1385accd1d05.png,740 1000 999 998 997
a52a3f74197445cf8dc65164b849e700.png,20 1000 778 686 569
57949fd809154b579d2b58e3774167a2.png,703 938 58 1000 910
1c3f8bb3b4c7494f8709d86fd4d57807.png,1000 256 891 977 435
381c5875cdaa4cb5ae669cc38b5dcb7f.png,242 261 1000 999 998
8ade30be14724b49a5c35f38ddd2bea8.png,34 406 785 769 541
5493a70feef74c41a78aaffbd28040fe.png,984 1000 799 999 998
299c285b9f2744e9bc5cd43d0f90c9b0.png,547 493 1000 999 998
6de1b457fa144f08b824fb97df7b226f.png,577 905 1000 619 974
5db9fb826580400b8ebb1e360ac786af.png,157 272 1000 999 998
eec7d7b530c24c738de350f8e4624830.png,697 910 938 1000 999
a930234000f74de8b18f436db2c9e169.png,473 1000 999 998 997
84a593db2c364fbe9dfaf96df5bf10e6.png,928 802 338 1000 999
c8e7ce5e2a56463c9db9ad5dacb01148.png,260 1000 999 998 997
dd6231434aac4f15861dcba8b2ca1ff6.png,166 563 1000 999 998
3d3733918f434f4b9adc42d089d569e0.png,155 124 1000 724 999
f7976172a4e645d3b4984bbd958ff0fe.png,379 1000 999 998 997
7127a87c651241ee9594203ade349932.png,469 329 483 672 1000
e04ea91428db4fbc86f18eb074872100.png,563 1000 999 998 997
f006f8d1009b4ef5ab9c550582228170.png,716 871 242 1000 254
5125a4d9b1864253a5dae8bc2529a6f6.png,593 132 1000 999 998
e6b3efd9598d487bb2c8d4c58d6bfcd8.png,268 590 1000 999 998
2134a26fc722483590d2c3b90c87b5e6.png,575 686 124 444 1000
f59664d56bdd40f6a9ceca2f2d625ca0.png,796 921 376 196 685
5725fea9142240c997ebbe432ca94b6c.png,130 457 652 1000 30
a0cdcdb9966744ee86ed29dfb5d0ebc6.png,494 995 1000 400 158
333ad9b7f23d4c43b6b0a09208266158.png,70 1000 95 999 998
07dc060d73804c7c8bb8cb5e5f58cefb.png,167 769 1000 381 999
41759220046d4eba820b7f1614af9304.png,888 485 1000 286 999
0ae2c88e65e543edafc5bc3848f94758.png,824 1000 999 998 997
78d4feb77a8348b691e150c2e6bd5299.png,658 438 853 1000 522
12ff06f5b59842668d4e5b5b0c8f4a2a.png,648 1000 999 998 997
5561ad3ff67740a4907e9851b392e276.png,940 2 1000 995 775
30f47ef48eac4bba9edd5c7746a47f12.png,792 614 1000 66 999
77fcf3a406d14d1d8a7fe902e4a10f18.png,366 1000 999 998 997
b6474961ff5642a49d1c657fd90c2ea1.png,52 204 371 1000 999
653168a20dfb4618b0b644f6c98a2f18.png,434 882 1000 720 999
f6795f8c1cce4d109244106a57b0fbf6.png,418 156 180 170 1000
5f8764bc10be4433a39c6c174605b924.png,529 301 582 1000 686
2248e3cd7aa34ff2abafecc714f9016f.png,561 824 689 1000 883
ed6a512c3ed34492862219774dbc00c4.png,766 346 217 1000 682
789300232d494247b4845d5751fb292a.png,846 1000 999 998 997
80798628f7f24bdf81adb8426fc6b909.png,957 878 276 609 435
110da06e8d6345f3a3ab728de292cf62.png,19 743 742 175 1000
0c285f8b530e460a88d36307b2d8444b.png,426 685 992 1000 436
6cb86dbfb4a24d2493795abf23285fea.png,485 102 940 1000 999
8dfb9df404074bfeba9d525a3768eaaa.png,216 498 959 1000 999
e2105651c3a64eb69defc00958a1cb37.png,749 495 656 1000 795
d0c49e1b3bb241a1bff0442f226f0238.png,42 419 248 1000 542
e36f2a8faea24fde91eef0332c9bd22b.png,58 908 1000 282 999
ff0cd68772634b55b5898ce7d923d091.png,44 582 219 1000 189
9866812295fe4be9bd0c636e70be5451.png,449 642 130 645 1000
a1470b7b7b1f4888938cf398223ba26e.png,880 1000 543 999 998
f7cb1520b8d14f539b9a45070ac109f2.png,610 1000 999 998 997
